zona_id,zona_x,zona_y,area_ha,sin_cambio_px,sin_cambio_ha,sin_cambio_pct,urbanizacion_px,urbanizacion_ha,urbanizacion_pct,perdida_vegetacion_px,perdida_vegetacion_ha,perdida_vegetacion_pct,ganancia_vegetacion_px,ganancia_vegetacion_ha,ganancia_vegetacion_pct,nuevo_cuerpo_agua_px,nuevo_cuerpo_agua_ha,nuevo_cuerpo_agua_pct,perdida_agua_px,perdida_agua_ha,perdida_agua_pct,pixeles_validos,cambio_total_ha,cambio_total_pct,indice_transformacion
Z_06_02,6,2,1.963843042988554e-08,15206,152.06,62.48356344510191,3375,33.75,13.868343195266272,4410,44.1,18.12130177514793,1345,13.450000000000001,5.526791584483892,0,0.0,0.0,0,0.0,0.0,24336,91.3,464904770908.0696,64.39999999999999
Z_06_03,6,3,1.963843042988554e-08,14272,142.72,58.64562787639711,4048,40.480000000000004,16.63379355687048,3990,39.9,16.395463510848128,2025,20.25,8.321005917159763,0,0.0,0.0,1,0.01,0.00410913872452334,24336,100.63,512413659326.16693,60.129999999999995
Z_06_04,6,4,1.963843042988554e-08,18955,189.55,77.8887245233399,915,9.15,3.759861932938856,3235,32.35,13.293063773833005,1231,12.31,5.058349769888231,0,0.0,0.0,0,0.0,0.0,24336,53.81,274003567607.4833,29.189999999999998
Z_06_05,6,5,1.963843042988554e-08,21377,213.77,87.84105851413544,313,3.13,1.2861604207758055,1432,14.32,5.884286653517423,1214,12.14,4.9884944115713346,0,0.0,0.0,0,0.0,0.0,24336,29.59,150673955872.61533,5.309999999999999
Z_06_06,6,6,1.963843042988554e-08,11893,118.93,48.869986850756085,4640,46.4,19.066403681788298,3163,31.63,12.997205785667324,4640,46.4,19.066403681788298,0,0.0,0.0,0,0.0,0.0,24336,124.43,633604607273.7251,31.630000000000003
Z_06_07,6,7,1.963843042988554e-08,13941,139.41,57.28550295857988,1108,11.08,4.552925706771861,2666,26.66,10.954963839579225,6621,66.21000000000001,27.206607495069033,0,0.0,0.0,0,0.0,0.0,24336,103.95000000000002,529319287359.18774,-28.470000000000006
Z_06_08,6,8,1.963843042988554e-08,11150,111.5,45.81689677843524,1694,16.94,6.960880999342538,4439,44.39,18.240466798159105,7053,70.53,28.981755424063117,0,0.0,0.0,0,0.0,0.0,24336,131.86,671438588082.5637,-9.200000000000003
Z_06_09,6,9,1.963843042988554e-08,10490,104.9,43.104865220249835,5569,55.69,22.88379355687048,3491,34.910000000000004,14.345003287310979,4786,47.86,19.666337935568706,0,0.0,0.0,0,0.0,0.0,24336,138.45999999999998,705046161883.1469,42.739999999999995
Z_07_00,7,0,1.963843042988554e-08,14913,149.13,61.27958579881657,3071,30.71,12.619165023011178,3949,39.49,16.22698882314267,2402,24.02,9.870151216305063,0,0.0,0.0,1,0.01,0.00410913872452334,24336,94.22,479773576286.5095,46.18000000000001
Z_07_01,7,1,1.963843042988554e-08,8330,83.3,34.22912557527942,6158,61.58,25.30407626561473,4832,48.32,19.85535831689678,5016,50.160000000000004,20.611439842209073,0,0.0,0.0,0,0.0,0.0,24336,160.06,815034585230.5106,59.74
Z_07_02,7,2,1.963843042988554e-08,14144,141.44,58.11965811965812,2692,26.92,11.061801446416831,4045,40.45,16.62146614069691,3455,34.550000000000004,14.19707429322814,0,0.0,0.0,0,0.0,0.0,24336,101.92000000000002,518982412387.1901,32.82
